review;;
"2020-07-07 17:14:03,""b'@donopradana Selamat mas don! bondo wani juga ngangkat nama kota Surabaya,  membuktikan bahwa pelaku industri kreat\xe2\x80\xa6 https://t.co/vLjxsI4rBc'"",,,,,,,,,,";;
2020-07-09 15:30:16,b'Ini lah salah satu yang membuat industri kreatif di Indonesia atay surabaya susahhhhh sekali maju dan berkembang. M\xe2\x80\xa6 https://t.co/JKDDayQVlT',,,,,,,,,,;;
"2020-07-10 04:52:22,""b'@aurelleoxx Sebenernya di dunia industri kreatif di surabaya aku cuma apa mas, masi banyak org"""" yg lebih jago"""" lg e\xe2\x80\xa6 https://t.co/9LTnOT2DhV'"",,,,,,,,,,";;
"2020-07-13 12:11:14,""b'Webinar : Investasi Mudah di Era New Normal @ Surabaya, Indonesia https://t.co/mlG2Y6f0bo'"",,,,,,,,,,";;
"2020-07-08 02:46:17,""b'- Dalam hidup ini, ada sesuatu yang kadang hadir di luar prediksi. Salah satunya, wabah Covid-19 yang berdampak pad\xe2\x80\xa6 https://t.co/xEqKLLZstz'"",,,,,,,,,,";;
2020-07-08 10:48:12,b'Kebijakan Jam Malam Di Surabaya Disebut Langkah Frustasi https://t.co/I5FK98O3vW',,,,,,,,,,;;
"2020-07-12 02:47:59,""b'Kebijakan tak jelas, konsep dan grand design penanganan Covid-19 di Surabaya tak jelas.\nLalu yg ditampilkan dari so\xe2\x80\xa6 https://t.co/86rB6Cc54P'"",,,,,,,,,,";;
"2020-07-12 08:07:52,""b'Tidak begitu. Saya juga acap kritik Kada di Surabaya, misal soal kebijakan yg kadang terlalu Suroboyo sentris. Mest\xe2\x80\xa6 https://t.co/Z36xTIXIpy'"",,,,,,,,,,";;
"2020-07-14 15:02:02,""b'Mebuat kebijakan kok tebang pilih, kenapa mall tdk ditutup selama pandemi. Dan hanya di Surabaya mall2 pada buka se\xe2\x80\xa6 https://t.co/TgnQenjjLx'"",,,,,,,,,,";;
"2020-07-08 02:46:17,""b'- Dalam hidup ini, ada sesuatu yang kadang hadir di luar prediksi. Salah satunya, wabah Covid-19 yang berdampak pad\xe2\x80\xa6 https://t.co/xEqKLLZstz'"",,,,,,,,,,";;
"2020-07-01 06:00:38,""b'@AzzaBazla @PartaiSocmed Nggak apple to apple lah, mau mbandingin Surabaya yang ibukota provinsi dengan segala hiruk pikuk ekonomi'"",,,,,,,,,,";;
"2020-07-01 07:02:55,""b'@tvOneNews Enak x jadi presiden, dg marah bisa mendongkrak ekonomi...\n\nPantasan buk cantik marah2 terus di surabaya\xe2\x80\xa6 https://t.co/b1PAH05bVa'"",,,,,,,,,,";;
2020-06-23 10:33:03,b'Broker Yakin Pasar Properti Surabaya Pulih Semester II/2020 https://t.co/UjHm668EXM',,,,,,,,,,;;
2020-06-24 06:14:16,b'Sekarang Surabaya udah macet lagi. Which mean ekonomi udah naik lagi. Semoga semua makhluk berbahagia',,,,,,,,,,;;
2020-06-26 10:06:24,b'@warkopwhisnu kalo taman kota surabaya makin dikembangin pasti nambah ningkat ekonomi masyarakat khsuusnya para pedagang #KalauBeginiKeren',,,,,,,,,,;;
2020-06-27 01:13:33,b'Surabaya \xe2\x80\x93 Dampak yang terjadi\xc2\xa0akibat\xc2\xa0pandemi virus covid-19 ini membuat kegiatan ekonomi di Indonesia menjadi mele\xe2\x80\xa6 https://t.co/Idm50DLOft',,,,,,,,,,;;
2020-06-27 23:55:04,b'@AldhiNdoy @tfsurabaya @e100ss Nah ini bukti tidak meratanya pembangunan di Surabaya. Pusat2 ekonomi tidak tersebar\xe2\x80\xa6 https://t.co/1uj9fQ8a9f',,,,,,,,,,;;
"2020-06-28 06:12:17,""b'RT @warkopwhisnu: Whisnu berkomitmen untuk terus mendukung pemberdayaan ekonomi perempuan di Kota Surabaya, dengan mengoptimalkan peran per\xe2\x80\xa6'"",,,,,,,,,,";;
2020-06-29 09:39:24,b'RT @Tanpaagama: Kan kemarin ibu sendiri yang egonya tinggi berat ke ekonomi gara-gara PSBB Surabaya Raya. Sekarang kalau pengen terkesan wi\xe2\x80\xa6',,,,,,,,,,;;
"2020-06-29 10:36:35,""b'@rizkahasanah Keputusan ndak logis, semua daerah menerapkan """"lockdown"""" kala pandemi meningkat, Surabaya malah dihen\xe2\x80\xa6 https://t.co/RgQltAN0dH'"",,,,,,,,,,";;
2020-06-30 19:37:24,b'Laporan penambahan kasus covid di Surabaya dipengaruhi oleh kelas ekonomi seseorang. Dimana peningkatan kasus covid\xe2\x80\xa6 https://t.co/f7kl7n448q',,,,,,,,,,;;
"2020-07-01 06:00:38,""b'@AzzaBazla @PartaiSocmed Nggak apple to apple lah, mau mbandingin Surabaya yang ibukota provinsi dengan segala hiruk pikuk ekonomi'"",,,,,,,,,,";;
"2020-06-28 06:12:17,""b'RT @warkopwhisnu: Whisnu berkomitmen untuk terus mendukung pemberdayaan ekonomi perempuan di Kota Surabaya, dengan mengoptimalkan peran per\xe2\x80\xa6'"",,,,,,,,,,";;
"2020-06-28 15:20:05,""b'Sektor Lain Mlempem, Pemkot Surabaya Andalkan Pendapatan PBB https://t.co/FPsAWhdVsQ'"",,,,,,,,,,";;
"2020-06-29 13:36:54,""b'@VIVAcoid ketika Surabaya lbh mementingkan ekonomi dibandingkan kesehatan masyarakat, jd gni, hancur ga karuan, man\xe2\x80\xa6 https://t.co/A4hWc8Y9ZV'"",,,,,,,,,,";;
Dedifaisal20,2020-09-12 16:08:03,b'@FirzaHusain Yh cuman 2 hal mentimgin ekonomi apa kesehatan bahkan Surabaya ajh masih psbb. Biar lah pemerintah yg\xe2\x80\xa6 https://t.co/YDAEySAAiz',,,,,,,,,,;;
"natashaciara221,2020-09-15 11:35:48,""b'Kepala BPB Linmas Kota Surabaya ini juga menekankan, kebijakan baru tersebut dibuat sebagai langkah tegas ini Pemko\xe2\x80\xa6 https://t.co/3MEQcgYUSz'"",,,,,,,,,,";;
"elisa_jkt,2020-09-16 03:58:28,""b'@unilubis Betul, bisa saja terpaksa karena urusan pekerjaan.\nTp sayangnya di Surabaya tdk ada kebijakan yg memastik\xe2\x80\xa6 https://t.co/YR6RfTHZ9p'"",,,,,,,,,,";;
cha_zea,2020-09-16 04:17:44,b'@tiarary @rojakiro Kl dr situ si keliatannya cuman kebijakan di surabaya \xf0\x9f\x91\x80',,,,,,,,,,;;
MSNindonesia,2020-09-13 06:31:22,b'Sederet Alasan Risma Berkeras Tolak Tol Masuk Tengah Kota Surabaya https://t.co/skiq46gtmI',,,,,,,,,,;;
equityworld_sby,2020-09-14 06:24:18,b'Equity World Surabaya : Pembukaan Ekonomi Global Di Masa Pandemi Menarik Untuk Di Lakukannya Perdagangan Jangka Pan\xe2\x80\xa6 https://t.co/fLR6VXAJgi',,,,,,,,,,;;
"ardanisbergas,2020-09-14 14:26:28,""b'@faaiizall @HoofdbureauID Semua bisa alasan """"ekonomi e njungkel"""" mas, tapi demi keselamatan bersama, mosok melangga\xe2\x80\xa6 https://t.co/WiXDTOFVtq'"",,,,,,,,,,";;
"pstyd,2020-09-18 06:36:18,""b'RT @ujangw: Masih ingat ketika Pemkot Surabaya menutup Dolly tahun 2014, yg kemudian diikuti oleh Pemkab Malang? \n\nPaper baru di QJE: hasil\xe2\x80\xa6'"",,,,,,,,,,";;
"bopixx,2020-09-18 07:48:08,""b'Tahun 2014, kawasan lokalisasi Dolly ditutup oleh Pemkot Surabaya. \n\nTahun 2020, paper yang telah diterima oleh\xe2\x80\xa6 https://t.co/qW8cmPqrIU'"",,,,,,,,,,";;
Bisniscom,2020-09-20 09:49:02,b'Bisnis Perkantoran Surabaya Tertolong Ketiadaan Tambahan Pasok https://t.co/7MZBCa4njG',,,,,,,,,,;;
cha_zea,2020-09-16 04:17:44,b'@tiarary @rojakiro Kl dr situ si keliatannya cuman kebijakan di surabaya \xf0\x9f\x91\x80',,,,,,,,,,;;
LintangManalu,2020-09-18 10:39:08,b'@ezash Lupa lupa ingat. Kalo gak salah soal kebijakan penggabungan kelurahan di surabaya. \xf0\x9f\x99\x84',,,,,,,,,,;;
CentroOne,Jun 1, 2011,Kebijakan Ekonomi Surabaya Tak Disukai Warga http://bit.ly/iAcdHa,,,,,,,,,,;;
PostingPromo™,Jul 12, 2012,#PostingPromo KEBIJAKAN MENPAREKRAF: Sejumlah Taman budaya akan direvitalisasi: SURABAYA: Kementrian Pariwisata Ekonomi kreatif akan...,,,,,,,,,,;;
"miraclecathy,Jun 26,Tinjau posko penanganan Covid19 di Surabaya, Jawa Timur, Presiden #Jokowi mengatakan kebijakan kesehatan dan pemulihan ekonomi harus berjalanberiringan#IndonesiaMaju""1447321048358084610	1447321048358084610	2021-10-11 05:00:02 SE Asia Standard Time	2021-10-11	05:00:02	+0700	966983910788759553	genpi_co	GenPI.co		Bupati Jember Hendy Siswanto berharap adanya Jatim Fair Hybrid 2021 di surabaya bisa menjadi ajang kebangkitan ekonomi daerahnya, di tengah pandemi Covid-19. #JatimFair  https://t.co/TxijxtMzQo	in	[]	['https://jatim.genpi.co/ekonomi/7600/jatim-fair-ajang-kebangkitan-ekonomi-jember']	[]	0	0	0	['jatimfair']	[]	https://twitter.com/Genpi_Co/status/1447321048358084610	False		0								[]				;,,,,,,,,,,";;
"1447266202150060036	1447266202150060036	2021-10-11 01:22:06 SE Asia Standard Time	2021-10-11	01:22:06	+0700	3002773092	antarajatimcom	Antara Jatim		""Bupati Jember Hendy Siswanto berharap kegiatan """"Jatim Fair Hybrid 2021"""" di Surabaya menjadi momentum kebangkitan ekonomi di Kabupaten Jember di tengah pandemi COVID-19.   https://t.co/sehpzIkHjT""	in	[]	['https://jatim.antaranews.com/berita/533865/bupati-hendy-berharap-jatim-fair-jadi-momentum-kebangkitan-ekonomi-jember']	[]	0	0	0	[]	[]	https://twitter.com/antarajatimcom/status/1447266202150060036	False		0								[]				;,,,,,,,,,,";;
"1447137325746589699	1447137325746589699	2021-10-10 16:49:59 SE Asia Standard Time	2021-10-10	16:49:59	+0700	1106947002988818433	axelsusanto_	Axel		napa ga di surabaya aja dah, kan itung2 kembangin ekonomi indonesia timur	in	[]	[]	[]	1	0	1	[]	[]	https://twitter.com/axelsusanto_/status/1447137325746589699	False	https://twitter.com/tempodotco/status/1447012142884876288	0								[]				;,,,,,,,,,,";;
